,Y
70,3.146
75,3.1474
80,3.1486
85,3.1496
90,3.1503
95,3.1507
100,3.151
105,3.1509
110,3.1506
115,3.1501
120,3.1494
125,3.1484
130,3.1471
135,3.1456
140,3.1439
145,3.1419
150,3.1396
155,3.1372
160,3.1344
165,3.1315
170,3.1282
175,3.1248
180,3.1211
185,3.1171
190,3.1129
195,3.1085
200,3.1038
205,3.0989
210,3.0937
215,3.0883
220,3.0826
225,3.0767
230,3.0705
235,3.0641
240,3.0575
245,3.0506
250,3.0434
255,3.036
260,3.0284
265,3.0205
270,3.0124
275,3.004
280,2.9954
285,2.9866
290,2.9775
295,2.9681
300,2.9585
305,2.9487
310,2.9386
315,2.9283
320,2.9177
325,2.9069
330,2.8958
335,2.8845
340,2.873
345,2.8612
350,2.8491
355,2.8368
360,2.8243
365,2.8115
370,2.7985
375,2.7852
380,2.7717
385,2.7579
390,2.7439
395,2.7297
400,2.7152
405,2.7004
410,2.6854
415,2.6702
420,2.6547
425,2.639
430,2.623
435,2.6068
440,2.5903
445,2.5736
450,2.5567
455,2.5395
460,2.522
465,2.5044
470,2.4864
475,2.4683
480,2.4498
485,2.4312
490,2.4122
495,2.3931
500,2.3737
505,2.354
510,2.3341
515,2.314
520,2.2936
525,2.273
530,2.2521
535,2.231
540,2.2096
545,2.188
550,2.1662
555,2.1441
560,2.1217
565,2.0991
570,2.0763
575,2.0532
580,2.0299
585,2.0063
590,1.9825
595,1.9584
600,1.9341
605,1.9095
610,1.8847
615,1.8597
620,1.8344
625,1.8089
630,1.7831
635,1.7571
640,1.7308
645,1.7043
650,1.6775
655,1.6505
660,1.6233
665,1.5958
670,1.568
675,1.54
680,1.5118
685,1.4833
690,1.4546
695,1.4256
700,1.3964
705,1.367
710,1.3372
715,1.3073
720,1.2771
725,1.2467
730,1.216
735,1.185
740,1.1539
745,1.1224
750,1.0908
755,1.0589
760,1.0267
765,0.9943
770,0.9617
775,0.9288
780,0.8956
785,0.8622
790,0.8286
795,0.7947
800,0.7606
805,0.7263
810,0.6916
815,0.6568
820,0.6217
825,0.5863
830,0.5507
835,0.5149
840,0.4788
845,0.4425
850,0.4059
855,0.3691
860,0.332
865,0.2947
870,0.2572
875,0.2194
880,0.1813
885,0.1431
890,0.1045
895,0.0657
900,0.0267
910,0.0274
915,0.0546
920,0.0815
925,0.1081
930,0.1345
935,0.1607
940,0.1866
945,0.2123
950,0.2377
955,0.2629
960,0.2879
965,0.3126
970,0.337
975,0.3612
980,0.3852
985,0.4089
990,0.4324
995,0.4556
1000,0.4786
1005,0.5014
1010,0.5238
1015,0.5461
1020,0.5681
1025,0.5899
1030,0.6114
1035,0.6326
1040,0.6537
1045,0.6744
1050,0.695
1055,0.7152
1060,0.7353
1065,0.7551
1070,0.7746
1075,0.7939
1080,0.813
1085,0.8318
1090,0.8504
1095,0.8687
